time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure,altitude,fix_q,sat,lat,long,gps_alt,gps_speed,telem_signal
2332.717,-0.402,-9.893,-0.56,-0.117,0.856,-0.179,0.001,-0.002,-0.001,96.188,31.232,994.692,13.426,0.0,0.0,0.0,0.0,0.0,0.0,-46
2333.122,-0.386,-9.884,-0.542,-0.112,0.859,-0.178,0.002,-0.001,0.0,96.16,30.898,994.715,12.728,0.0,0.0,0.0,0.0,0.0,0.0,-46
2333.531,-0.369,-9.896,-0.525,-0.112,0.859,-0.187,0.006,-0.002,-0.0,96.169,30.937,994.718,12.814,0.0,0.0,0.0,0.0,0.0,0.0,-46
2333.942,-0.352,-9.882,-0.532,-0.114,0.867,-0.183,0.0,-0.006,0.001,96.142,31.424,994.699,14.124,0.0,0.0,0.0,0.0,0.0,0.0,-46
2334.351,-0.366,-9.889,-0.504,-0.113,0.859,-0.171,0.001,-0.004,0.004,96.169,31.221,994.724,13.244,0.0,0.0,0.0,0.0,0.0,0.0,-47
2334.758,-0.367,-9.887,-0.55,-0.111,0.869,-0.178,0.006,-0.005,-0.001,96.151,31.271,994.721,13.321,0.0,0.0,0.0,0.0,0.0,0.0,-46
2335.166,-0.389,-9.908,-0.535,-0.102,0.866,-0.191,0.005,0.004,-0.002,96.16,31.019,994.708,13.895,0.0,0.0,0.0,0.0,0.0,0.0,-46
2335.578,-0.367,-9.899,-0.538,-0.102,0.861,-0.185,0.008,-0.003,-0.001,96.151,31.326,994.732,13.56,0.0,0.0,0.0,0.0,0.0,0.0,-45
2335.986,-0.381,-9.887,-0.538,-0.115,0.865,-0.189,0.002,-0.001,0.0,96.16,30.931,994.725,13.637,0.0,0.0,0.0,0.0,0.0,0.0,-46
2336.397,-0.369,-9.909,-0.527,-0.115,0.858,-0.186,0.002,-0.004,-0.001,96.151,31.485,994.706,13.168,0.0,0.0,0.0,0.0,0.0,0.0,-46
2336.806,-0.381,-9.909,-0.531,-0.106,0.87,-0.186,0.001,-0.001,-0.002,96.16,31.457,994.721,13.981,0.0,0.0,0.0,0.0,0.0,0.0,-46
2337.216,-0.367,-9.887,-0.548,-0.113,0.861,-0.181,0.005,-0.003,0.0,96.142,31.282,994.73,12.986,0.0,0.0,0.0,0.0,0.0,0.0,-46
2337.629,-0.361,-9.904,-0.55,-0.113,0.858,-0.182,0.008,-0.006,0.001,96.151,31.134,994.717,13.082,0.0,0.0,0.0,0.0,0.0,0.0,-46
